Id, Coins, Current Winstreak, Current Level, Diamonds Collected, Emeralds Collected, Gold Collected, Iron Collected
1,5260030,51,1168,3975,3261,374789,2910721
2,8096741,1,1260,40145,20921,518657,3646488
3,1067004,1,1355,119208,36183,622376,3440304
4,3334971,10,1156,34225,17796,463911,3015704
5,8698660,28,1383,77886,28615,753044,5326144
6,5654469,15,1445,108433,35651,758770,4382068
7,4637672,72,1159,60887,41832,528369,3391639
8,1251003,0,1282,8503,33092,463478,3493123
9,359638,1,923,46716,13003,412223,2741447
10,5087601,1036,1053,44615,16371,421647,2541860
11,1463822,4,846,32561,10447,372253,2592241
12,1981408,1,859,22478,19359,385002,2626249
13,3110595,1,1078,172694,49600,685217,3016480
14,1888453,2,1104,60527,22904,545533,3153381
15,3292967,0,955,41460,18413,471152,3177250
16,2489794,0,1211,89776,30635,659916,3959801
17,2303378,1,540,18420,4878,276085,2085170
18,757586,97,911,62045,14325,453762,3030551
19,2572202,25,1059,38393,19524,522405,3075505
20,5413494,1,759,18562,12765,248111,1745014
21,3534733,26,1032,45048,31315,484838,3136381
22,3169729,7,1127,74804,30896,583226,3373054
23,907026,13,1000,34224,24450,531422,3571492
24,2184835,0,888,52478,20279,447229,2853087
25,1195761,78,841,55682,21437,394831,2568719
26,4232298,10,1108,77148,33848,595941,3218833
27,1843614,52,827,50575,10127,381552,2252234
28,1005491,35,640,37939,23316,296889,1930011
29,113393,0,778,53323,27252,413348,2724671
30,1169466,19,811,46174,11620,380941,2219374
31,345123,2,884,28300,18277,403906,2692058
32,4047823,0,709,36704,8833,283948,1824628
33,5879227,29,924,59452,18608,451644,2743979
34,2139685,2,947,56574,31717,486913,2687284
35,2933041,19,1005,72843,31887,499366,2796687
36,2407717,29,825,55208,19530,393135,2402709
37,1484583,2,535,13484,6531,245822,1754102
38,5747536,0,1485,266618,77594,999504,5935071
39,2702783,5,543,19779,7010,209529,1432659
40,1858799,25,818,40692,18513,340413,2382931
41,545714,34,681,42395,11303,343231,2349603
42,3194897,91,843,73371,24550,511073,2708841
43,1007216,36,925,31098,21767,312459,2114540
44,1080702,1,742,25012,10869,273263,1796937
45,124676,0,1022,90717,31786,567161,3284200
46,4714352,5,926,20420,17112,408309,2619548
47,3320187,10,811,42977,20815,440259,2846172
48,668141,49,627,18643,10270,259036,1725895
49,2123365,44,540,31415,8952,257627,1490683
50,2602393,0,821,45571,19558,421366,2904602
51,2517622,1,844,33871,22267,486278,2884731
52,2864206,52,703,72948,29942,383680,2283808
53,4367519,0,956,66025,29359,511012,3473172
54,2770526,0,662,29140,14322,365240,2274278
55,2320117,162,732,29983,26101,405535,2672268
56,2053321,0,739,32119,27011,409319,2409894
57,3212629,39,827,57223,22644,317815,2035009
58,823511,0,853,63765,26676,446928,2611504
59,1938863,26,753,17312,12306,298675,1739875
60,1093395,33,594,26349,15573,246977,1569876
61,835385,6,810,20375,24761,289646,1961583
62,2018522,393,777,37152,18823,318448,1988058
63,3883102,5,595,17828,11181,213828,1359184
64,1100347,7,774,60018,19323,445218,2646671
65,2718342,14,588,13092,6737,251683,1713831
66,1447002,20,576,28666,31128,261591,1601368
67,2171508,5,688,17672,7529,301724,2019065
68,5308804,9,699,5040,4923,313253,2196809
69,924019,64,750,20840,13991,282071,1955058
70,1017118,1,881,65752,25101,489445,2754158
71,387265,0,846,41322,10617,353777,2247441
72,2735294,281,589,44598,14164,287801,1694333
73,2240879,0,743,31825,13228,369701,2188364
74,1259249,2,789,80232,25004,481405,2743424
75,373090,3,414,22169,7646,210458,1634610
76,2283885,1,739,39192,15427,372492,2242505
77,1910868,1,581,11165,11194,215348,1548433
78,485403,0,523,15077,9427,270574,2065989
79,2706354,72,759,19416,11178,256407,1853028
80,3557167,93,458,15097,2572,170992,1179165
81,782005,1004,517,11931,4733,188024,1338675
82,817936,0,466,22477,15981,239288,1606061
83,127400,0,708,51030,13984,349380,1993514
84,422281,12,437,7194,8067,190599,1240551
85,3470393,0,643,55659,15792,370821,2189493
86,1317784,0,506,21615,17904,295987,1948606
