Id,K,D,K/D,FK,FD,FK/D,W,L,W/L,Beds Broken
1,32243,68097,0.47,48388,3552,13.62,27833,2409,11.55,16994
2,16826,51313,0.33,35183,1952,18.02,22028,1327,16.60,13829
3,12143,18936,0.64,25738,540,47.66,8451,420,20.12,8580
4,14057,31949,0.44,38400,1558,24.65,15952,989,16.13,11978
5,18100,35079,0.52,25057,3646,6.87,18512,2888,6.41,6450
6,21900,32149,0.68,24437,1257,19.44,8351,1121,7.45,7723
7,16697,40172,0.42,45591,1014,44.96,15116,734,20.59,14973
8,20024,61029,0.33,37258,3895,9.57,17744,3430,5.17,24791
9,13319,25538,0.52,33052,567,58.29,13232,462,28.64,11951
10,8848,16184,0.55,23283,293,79.46,8569,253,33.87,7294
11,21059,25973,0.81,41449,618,67.07,16176,544,29.74,14824
12,11748,23703,0.50,38124,910,41.89,13275,713,18.62,11869
13,1949,3286,0.59,5595,44,127.16,1967,31,63.45,2350
14,10202,15394,0.66,14144,739,19.14,5165,640,8.07,4516
15,11673,40540,0.29,28413,1706,16.65,12463,1244,10.02,11018
16,6299,8968,0.70,4724,655,7.21,1950,700,2.79,1637
17,15849,35349,0.45,34523,717,48.15,15987,453,35.29,13832
18,11495,27860,0.41,24025,762,31.53,11431,631,18.12,5856
19,12300,18313,0.67,16154,882,18.32,7264,753,9.65,6123
20,19932,40835,0.49,29625,1323,22.39,13558,1148,11.81,10493
21,11178,22412,0.50,17844,1500,11.90,8101,1281,6.32,6302
22,9482,17843,0.53,13956,842,16.57,6773,714,9.49,5356
23,21037,37843,0.56,32082,2927,10.96,11335,2643,4.29,9179
24,14088,25511,0.55,18271,1268,14.41,9128,1106,8.25,5702
25,25046,35664,0.70,34762,1230,28.26,11535,993,11.62,9588
26,7024,11186,0.63,10288,626,16.43,3817,540,7.07,3328
27,8632,10563,0.82,15994,443,36.10,5212,412,12.65,4868
28,12362,23378,0.53,32047,480,66.76,11436,340,33.64,11617
29,22769,41213,0.55,33164,2213,14.99,12204,1876,6.51,12259
30,7955,13996,0.57,12696,529,24,4272,460,9.29,4539
31,19185,36383,0.53,33964,1656,20.51,11539,1315,8.77,11729
32,12386,22798,0.54,31676,504,62.85,9378,471,19.91,9505
33,8054,11756,0.69,9833,573,17.16,3853,537,7.18,2753
34,9232,11555,0.80,20196,662,30.51,5300,547,9.69,6276
35,13844,23449,0.59,19383,1548,12.52,7216,1553,4.65,6333
36,9528,20940,0.46,16609,622,26.70,7222,517,13.97,5326
37,16745,22361,0.75,40255,1427,28.21,12012,1224,9.81,13796
38,11112,15593,0.71,6167,1755,3.51,6546,1627,4.02,1230
39,13819,23829,0.58,35437,510,69.48,11843,389,30.44,10081
40,14890,26333,0.57,25237,1068,23.63,10271,854,12.03,9162
41,10450,23312,0.45,28854,1086,26.57,10756,915,11.76,8775
42,11723,12367,0.95,16543,402,41.15,4816,417,11.55,4313
43,10359,20123,0.51,15372,1202,12.79,8598,971,8.85,6112
44,8224,20023,0.41,18709,629,29.74,7694,453,16.98,3859
45,4941,8910,0.55,9034,275,32.85,3391,237,14.31,2849
46,19519,26940,0.72,17958,1449,12.39,7272,1353,5.37,6702
47,10554,20810,0.51,19794,951,20.81,7466,785,9.51,5599
48,6671,18772,0.36,19098,449,42.53,8808,396,22.24,6178
49,6077,8906,0.68,11867,105,113.02,3763,83,45.34,3679
50,12580,33281,0.38,18904,2536,7.45,10428,2151,4.85,7912
51,12411,19036,0.65,14969,1553,9.64,5967,1505,3.96,5433
52,7745,17272,0.45,16313,327,49.89,6855,310,22.11,5385
53,10890,23908,0.46,13394,1535,8.73,9422,1332,7.07,6960
54,4042,9883,0.41,8091,552,14.66,3594,418,8.60,3185
55,11237,20874,0.54,26149,1174,22.27,8817,982,8.98,7850
56,7629,16982,0.45,11842,1176,10.07,4969,1062,4.68,5768
