Id, K, D, K/D, FK, FD, FK/D, W, L, W/L, Beds Broken
1,17,55,0.31,36,6,6,9,7,1.29,39
2,600,855,0.70,738,124,5.95,233,133,1.75,842
3,5043,4363,1.16,7519,299,25.15,1873,322,5.82,7736
4,2918,2373,1.23,3027,442,6.85,679,469,1.45,3246
5,939,999,0.94,1296,153,8.47,358,171,2.09,1344
6,4737,5547,0.85,4173,729,5.72,937,846,1.11,4367
7,5101,5852,0.87,6843,464,14.75,1738,488,3.56,6939
8,103,371,0.28,81,93,0.87,16,100,0.16,155
9,1064,898,1.18,1527,83,18.40,381,108,3.53,1579
10,831,903,0.92,1401,66,21.23,343,97,3.54,1477
11,26,4,6.5,13,3,4.33,3,3,1,9
12,1503,2111,0.71,2482,178,13.94,639,193,3.31,2678
13,48890,24430,2.00,55712,1380,40.37,13988,1507,9.28,56498
14,4269,4881,0.87,3018,1100,2.74,635,1287,0.49,3658
15,1118,2341,0.48,1888,356,5.30,389,403,0.97,2222
16,1164,2092,0.56,753,351,2.15,197,391,0.50,930
17,56,84,0.67,88,7,12.57,24,7,3.43,97
18,649,1070,0.61,706,106,6.66,161,134,1.20,793
19,4781,5543,0.86,5215,1019,5.12,1204,1312,0.92,6001
20,503,155,3.25,125,27,4.63,28,34,0.82,151
21,182,265,0.69,254,48,5.29,58,59,0.98,278
22,3855,6411,0.60,6006,666,9.02,1554,790,1.97,6565
23,839,1534,0.55,855,230,3.72,177,423,0.42,1012
24,1506,1569,0.96,919,346,2.66,212,376,0.56,1106
25,1587,1391,1.14,1152,201,5.73,297,228,1.30,1205
26,4736,6894,0.69,4262,1959,2.18,753,2151,0.35,5106
27,836,676,1.24,914,69,13.25,239,92,2.60,926
28,5083,991,5.13,2576,179,14.39,697,242,2.88,2687
29,2064,2283,0.90,2415,413,5.85,592,476,1.24,2693
30,4129,4816,0.86,5250,487,10.78,1294,513,2.52,5395
31,2771,3356,0.83,3078,406,7.58,699,438,1.60,3469
32,781,838,0.93,1443,39,37,342,61,5.61,1498
33,2223,2233,1.00,1658,302,5.49,439,340,1.29,1722
34,4737,3299,1.44,5961,696,8.56,1473,740,1.99,6230
35,7930,9736,0.81,6775,1662,4.08,1311,2474,0.53,7885
36,1821,2666,0.68,2540,224,11.34,607,268,2.26,2739
37,884,352,2.51,669,104,6.43,128,133,0.96,742
38,3509,4885,0.72,1713,1782,0.96,532,1828,0.29,2416
39,1057,900,1.17,622,74,8.41,163,85,1.92,686
40,133,244,0.55,172,29,5.93,44,32,1.38,178
41,324,409,0.79,607,31,19.58,161,53,3.04,654
