Id, K, D, K/D, FK, FD, FK/D, W, L, W/L, Beds Broken
1,530,1051,0.50,847,98,8.64,227,83,2.73,521
2,8324,12667,0.66,9195,1089,8.44,2780,884,3.14,5795
3,31675,34092,0.93,51117,1551,32.96,10073,1311,7.68,28702
4,17369,22375,0.78,22123,1261,17.54,5071,1000,5.07,11839
5,4774,7124,0.67,5505,1120,4.92,1762,991,1.78,3184
6,45195,52269,0.86,53485,2735,19.56,10739,2372,4.53,28140
7,9527,15265,0.62,17417,527,33.05,3499,461,7.59,9659
8,453,933,0.49,330,212,1.56,76,214,0.36,303
9,8058,8927,0.90,13190,366,36.04,2916,352,8.28,7588
10,19753,24958,0.79,40213,1108,36.29,8241,1114,7.40,22750
11,6041,4528,1.33,7420,208,35.67,1545,186,8.31,4133
12,4224,5336,0.79,7042,387,18.20,1388,382,3.63,3908
13,6027,3370,1.79,6618,265,24.97,1086,262,4.15,3695
14,9483,11649,0.81,9379,1160,8.09,1961,1255,1.56,5384
15,5737,10463,0.55,7458,1187,6.28,1508,1182,1.28,4729
16,14386,21172,0.68,13748,1378,9.98,3794,1270,2.99,7773
17,308,315,0.98,350,28,12.5,86,21,4.10,200
18,11438,17209,0.66,11837,760,15.58,3415,723,4.72,6723
19,7302,7538,0.97,7127,954,7.47,1655,992,1.67,4346
20,1448,1475,0.98,733,130,5.64,180,155,1.16,448
21,982,1725,0.57,1248,226,5.52,332,213,1.56,776
22,11680,19075,0.61,14779,1152,12.83,3809,1018,3.74,9132
23,7182,10283,0.70,7961,1309,6.08,1425,1602,0.89,4966
24,9993,13841,0.72,8225,1520,5.41,2234,1470,1.52,5213
25,12084,10888,1.11,11142,953,11.69,2079,929,2.24,5836
26,34280,39477,0.87,41352,4701,8.80,7528,4434,1.70,22425
27,13618,11165,1.22,14163,1343,10.55,2943,1365,2.16,7663
28,5499,5221,1.05,8335,207,40.27,1941,182,10.66,4767
29,6303,7434,0.85,5794,759,7.63,1248,745,1.68,3295
30,11581,11896,0.97,12575,779,16.14,2782,708,3.93,7145
31,3630,5074,0.72,4966,526,9.44,955,484,1.97,2984
32,11673,13223,0.88,19419,454,42.77,3714,498,7.46,10649
33,12107,14715,0.82,13589,870,15.62,3001,818,3.67,7405
34,18062,15465,1.17,28308,1170,24.19,5246,1069,4.91,14982
35,17629,23484,0.75,15769,3036,5.19,2954,3662,0.81,9173
36,13580,22072,0.62,19619,1231,15.94,4501,1118,4.03,11231
37,2439,2119,1.15,3503,300,11.68,623,296,2.10,2142
38,17703,22910,0.77,8103,4658,1.74,2930,4547,0.64,5077
39,1893,1803,1.05,2219,101,21.97,453,95,4.77,1199
40,2572,3545,0.73,2995,239,12.53,822,204,4.03,1736
41,4495,5536,0.81,6202,426,14.56,1482,408,3.63,3472
42,15066,11166,1.35,14297,520,27.49,2812,565,4.98,7277
43,2376,2633,0.90,1903,268,7.10,587,252,2.33,1209
44,5525,8534,0.65,5457,592,9.22,1631,491,3.32,3074
45,26205,29622,0.88,28037,1362,20.59,6366,1304,4.88,14843
46,9170,11085,0.83,8767,849,10.33,2237,792,2.82,4851
47,9759,15487,0.63,11820,1014,11.66,2922,944,3.10,6886
