Id, [Rank] Name [Guild], Wins, BW Level, Kills, Final Kills, W/L, K/D, Final K/D
1,[MVP+] TheCleb [DARK],29165,1168,34392,51069,11.04,0.47,13.31
2,[MVP++] 02P [OK],28083,1260,29934,50268,10.32,0.40,13.70
3,[YOUTUBE] gamerboy80 [NOLIFE],23978,1355,55428,96345,10.37,0.84,35.55
4,[MVP++] FreshSimon [GGMEN],23174,1156,36259,67001,8.76,0.60,19.00
5,[MVP++] Dolida [ENIGMA],22831,1383,26684,35422,5.01,0.55,6.45
6,[MVP++] MyGirlRose [ABYSS],22152,1445,79322,88235,4.49,0.79,16.64
7,[MVP++] Ketthe [KS],21599,1159,33362,74570,11.62,0.51,33.79
8,[MVP+] xLectroLiqhtnin [DARK],19646,1282,23612,41736,4.37,0.34,8.35
9,Toyless [IYN],18250,923,24848,52158,16.88,0.64,43.94
10,[MVP++] gamerboy81 [GGMEN],18208,1053,31250,67888,11.58,0.70,43.16
11,[MVP++] Jiyn [IYN],18141,846,28038,50032,23.29,0.89,56.73
12,[MVP++] 7R7 [FADE],17948,859,20115,54701,11.97,0.55,31.69
13,[MVP++] Hashito [STAR],17198,1078,57369,68543,9.36,1.82,39.62
14,[MVP++] WactOLatern [GGMEN],16826,1104,39263,48722,4.15,0.69,12.22
15,[MVP+] snocy [ŖĄЩŖ],16736,955,22688,44068,4.58,0.36,10.77
16,[MVP++] IlyJerm [STORM],16499,1211,47167,43358,3.76,0.63,9.26
17,[MVP++] GooblinSmek [FOO],16347,540,16648,35651,31.87,0.46,45.19
18,[MVP++] Kellied [GGMEN],16334,911,25573,39369,9.60,0.51,21.45
19,[MVP+] Opmine [GGMEN],15884,1059,34324,41413,4.08,0.73,11.01
20,[MVP+] bwmain,15775,759,27474,35771,7.97,0.54,17.28
21,[MVP++] champpo,15727,1032,25980,38304,4.04,0.56,9.06
22,[MVP++] noneleft [THORN],15654,1127,30472,42342,5.20,0.56,13.16
23,[MVP+] Pahexa [ASSIST],15327,1000,35061,48188,2.52,0.60,8.71
24,[MVP+] xLara [IYN],15278,888,31494,34763,4.45,0.61,9.43
25,[MVP++] EDMC [DARK],15215,841,42395,50837,6.41,0.81,19.36
26,[MVP++] ameeero [ABYSS],14913,1108,52653,64059,1.92,0.78,8.01
27,[MVP++] meflio [GGMEN],14780,827,36740,49545,5.38,0.98,18.47
28,[MVP+] UNMUTE20,14508,640,23709,44200,18.11,0.77,48.89
29,[MVP+] OpGoDnEsS [FAZE],14471,777,33009,42616,4.39,0.62,11.87
30,[MVP++] kysiek1234,14329,811,36588,48094,6.08,0.70,18.51
31,[MVP++] NoEscape,14263,884,28135,45153,5.67,0.58,15.58
32,[MVP+] _okay_ [FAZE],14090,709,25935,54624,13.01,0.67,51.73
33,[MVP++] Shuddest [S],13967,924,37280,42700,5.76,0.74,16.64
34,[MVP++] NoSDaemon [GGMEN],13704,947,35649,60088,5.12,1.06,20.79
35,[MVP+] WbKirito [TRAGEDY],13610,1005,44809,47739,1.60,0.69,6.83
36,[MVP+] waning [BLOOD],13594,825,27388,41782,6.51,0.54,18.33
37,[MVP+] MomGetTheCam [SYMBOL],13562,535,21494,47203,7.52,0.81,24.07
38,[MVP+] Feiticeira [BRASIL],13537,1485,40580,19859,1.45,0.74,2.06
39,[MVP+] NotSquidy [GFMEN],13484,543,18351,40990,21.44,0.63,53.86
40,[MVP++] tyelur [S],13355,818,21348,33823,10.13,0.57,20.94
41,[MVP+] Nightal,13266,681,16462,37509,8.87,0.53,22.42
42,[MVP+] LEliTZpAnDA,13259,843,46229,51685,6.42,1.13,28.62
43,[MVP++] cookie_1738 [ICKY],12961,925,17641,23601,7.62,0.55,11.59
44,[MVP++] Justiyn [IYN],12935,742,19354,33010,7.32,0.47,15.30
45,[YOUTUBE] SammyGreen [IYN],12802,1022,39981,46991,5.14,0.81,18.60
46,[MVP++] AnotherAndrix [LG],12780,926,36808,35033,4.32,0.74,11.16
47,[MVP++] ImmortalPqnda [THORN],12724,811,24406,37554,5.89,0.55,15.58
48,[MVP++] DEFLIO [GGMEN],12556,627,14298,29658,11.37,0.47,28.35
49,[MVP++] lelitzpandaa [GGMEN],12484,540,29248,43414,40.40,0.89,103.86
